id,name,description,release_date,duration_ms,language,explicit,type
0gyuotFso7mRZVzwgonIJZ,Os maiores cases de Data Science no Grupo Boticário - Data Hackers Podcast 63,"Convidamos o Grupo Boticário para contar como está aplicando na prática modelos de Data Science no varejo.  O time de Data Science compartilhou com a gente alguns cases de modelos de recomendação para o ecommerce, como trabalham com os vendedores trazendo ferramentas para que eles vendam mais. Os projetos que trouxeram para demonstrar um pouco de como trabalham com dados foram: o BotiEssence, que faz sugestão de produtos pro consumidor final; o BotiColorista, que faz classificação de tendências de cores; e o projeto Lyra iniciativa para tornar os processos do time de performance de produto mais data-driven. Consiste em entregas de soluções de Data Science e BI para áreas como Estabilidade e Segurança de Formulações, Ecotoxicidade, Ciências do Consumidor, Tecnologia de Materiais e Cosmetovigilância. Os resultados do State of Data Brasil já está no ar! Trata-se do maior mapeamento do mercado de dados no Brasil.  Para fazer o download do relatório clique aqui. Conheça nossos convidados Linkedin do Carlos Fonseca Linkedin da Giuliana de Jong Linkedin do Raphael Corrêa",2023-02-13,3578174,pt-BR,False,episode
7pASdhuqTbNW69qukx1Dfb,Liderando times de Dados -  Data Hackers Podcast 61,"Convidamos alguns dos maiores especialistas em gestão de times de dados do Brasil para compartilhar as estratégias de formação e liderança de equipes de dados prontos para encarar os desafios da atualidade. Conheça nossos participantes:   Philipp Nguyen - Director of Data at Grupo Boticário  Lucas Brossi - Head of Advanced Analytics for South America na Bain & Company   Andrea Suman - CDO Chief Data Officer no Hospital Israelita Albert Einstein  Se você é um líder de dados, se pensa em se tornar um líder ou simplesmente quer saber mais sobre o tema, vai curtir muito esse episódio. Hoje convidamos alguns dos maiores especialistas em gestão de equipes de dados no Brasil para um papo exclusivo sobre liderança de equipes de dados diante dos desafios atuais das empresas! No podcast falamos de descentralização de equipes de dados, desafios de crescimento das equipes e das empresas, dicas para quem quer se tornar um gestor e muito mais. Vale a pena conferir, a conversa está sensacional! Acesse o nosso Medium para acessar todas as referências e links do episódio: https://medium.com/data-hackers",2022-12-04,4299102,pt-BR,False,episode
03o6RORhWtVcYHRpB1Fa1w,Modern Data Stack no Grupo Boticário - Data Hackers Podcast 59,"A Modern Data Stack é uma das maiores tendências na área de dados. O termo se tornou famoso por ser uma abordagem que empresas podem utilizar para se adequar rapidamente a mudanças, não só de negócios, mas do mercado em si, plugando soluções que resolvem diferentes etapas do dado nas empresas, da coleta a documentação. E, para nos contar como é aplicar os conceitos da Modern Data Stack de forma bem prática no dia a dia, convidamos nossos amigos do Grupo Boticário para esse papo. Vem conferir! Participe do State of Data Brazil, a maior pesquisa do mercado de dados no Brasil: https://www.stateofdata.com.br/ Conheça nossos participantes: Linkedin do Igor Vieira Linkedin do Rafael Ubertini Linkedin do Marcus Guidoti Acesse o post no Medium para acessar todas as referências do episódio:  https://medium.com/data-hackers/o-que-%C3%A9-a-modern-data-stack-data-hackers-podcast-59-a084bf351016",2022-10-24,3835663,pt-BR,False,episode
1Ztf5cj9Mi4hycAzuhGs61,Democratização de Dados e AI no Grupo Boticário - Data Hackers Podcast 57,"Um ano depois desde nosso primeiro episódio juntos, o pessoal do Grupo Boticário volta ao podcast do Data Hackers para falar o que aconteceu nesses últimos meses. Philipp Nguyen (Chief Data Officer), Jordy Rocha (Lead ML Engineer), e Thamires Teixeira (Analista de Governança de Dados) compartilham alguns dos incríveis projetos de dados e AI que o GB está trabalhando atualmente, de iniciativas de democratização de dados a criação de uma plataforma de Machine Learning. Uma verdadeira aula de maturidade em dados! Veja as vagas abertas no Grupo Boticário:  https://www.linkedin.com/company/grupo-boticario/jobs/ Conheça nossos convidados Linkedin do Philipp Nguyen (https://www.linkedin.com/in/nguyenphilipp) Linkedin do Jordy Rocha (https://www.linkedin.com/in/jordy-antunes) Linkedin da Thamires Teixeira (https://www.linkedin.com/in/thamires-teixeira-90395278)",2022-08-26,3570050,pt-BR,False,episode
03oHZFon4UOXNoOvhfHEyi,Time Series Forecasting no Grupo Boticário - Data Hackers Podcast 46,"Hoje vamos falar sobre como podemos criar máquinas para prever o futuro! Isso mesmo, meus amigos, finalmente o tão pedindo episódio sobre Time Series Forecasting está no ar! E nós convidamos o pessoal do Grupo Boticário para nos contar como eles estão aplicando previsões em um dos maiores grupos de beleza do mundo. Para esse papo nós convidamos Domingos Santos, Lucas Marchioro e Thiago Alves para compartilhar da sua experiência com a gente. Acesse nosso post no Medium para ter acesso as referências: https://medium.com/data-hackers/time-series-forecasting-no-grupo-botic%C3%A1rio-data-hackers-podcast-46-c2396bf602c",2021-10-01,3669916,pt-BR,False,episode
5SdiXLTPm6zoPvmcXRbgpu,"Construindo Data Lakehouse e muito mais, no Grupo Boticário  -  Data Hackers Podcast 44","O que é um Data Lakehouse? Parece mais uma nova modinha, mas não: é uma nova forma de se construir uma Plataforma que facilita e democratiza o acesso a dados, desde sua criação. Legal né? Essa e muitas outras discussões permearam nosso episódio 44, com a presença dos feras em Data Engineering do Grupo Boticário. Trouxemos as grandes referências do GB em Engenharia e Arquitetura de Dados para dar essa aula pra gente: Robson Mendonça (Gerente SR Engenharia de Dados), Edson Junior (Gerente de Engenharia de Dados)  Marcus Bittencourt (Gerente de Arquitetura e Plataforma de Dados). Veja os links do episódio no nosso post do Medium: https://medium.com/data-hackers/construindo-data-lakehouse-e-muito-mais-no-grupo-botic%C3%A1rio-data-hackers-podcast-44-20d67f05cfa4",2021-09-03,3462269,pt-BR,False,episode
0YsK6zhEeuSD78zeSoHcaB,Trabalhando com Dados no Grupo Boticário - Data Hackers Podcast 43,"Conheça as vagas do Grupo Boticário: https://bit.ly/GrupoBoticarioVagas Como que o maior grupo de beleza do mundo utiliza dados no dia dia? Já imaginou o desafio de democratizar dados para milhares de pessoas de um grupo que existe a décadas? E como que AI e Machine Learning é aplicado na indústria da beleza? Isso e muito mais a gente conversa nesse papo sensacional com o pessoal do Grupo Boticário. Mariana Oliveira (Data Product Owner), Erika Cipriano (Analista de BI e Analytics) e Antonio Junior (Data Scientist) compartilham com a gente um pouco do dia a dia deles nesse papo bem descontraído. Acesse nosso post do Medium pra ter acesso as referências do episódio: https://medium.com/data-hackers/trabalhando-com-dados-no-grupo-botic%C3%A1rio-data-hackers-podcast-43-9279a6e73815",2021-08-13,4352078,pt-BR,False,episode
72804c7IpjxUKCZ2lSi8G5,Data Products no Magalu - Data Hackers Podcast 41,"Você já ouviu falar de produto de dados? Já parou pra pensar como é criar produtos que facilitam a vida de times consumirem e enviarem dados, criar modelos e gerar inteligência para o negócio? É sobre isso que vamos falar hoje junto com Marcelo Oses — Data Group Product Manager no Magalu — e Filipe Comparini — Data Platform Manager no Magalu — , onde eles compartilham como foi essa experiência em criar produtos e plataformas de dados para os times do Magazine Luiza. > A NOVA PARCEIRA DO DH É O GRUPO BOTICÁRIO! A Estratégia de Dados do Grupo Boticário: https://bit.ly/DadosGB Vagas no Grupo Boticário: https://bit.ly/GrupoBoticarioVagas > Links do episódio Clique aqui e acesse o link do nosso post no Medium pra ter acesso as referências",2021-07-09,3886132,pt-BR,False,episode
